Produit,N observations,Prix moyen actuel,Prix moyen mois precedent,Variation absolue moyenne,Variation moyenne (%),Volatilite (CV %),Tendance
Maïs,62,169.92,161.37,8.55,5.97,24.82,Hausse
Sucre,62,541.13,534.68,6.45,1.22,8.71,Stable
Riz importé,62,459.35,446.94,12.42,3.02,10.23,Stable
Riz local,62,386.05,378.15,7.9,2.27,8.94,Stable
Mil,62,177.74,169.63,8.11,5.46,9.45,Hausse
Poisson,62,3175.81,3001.13,174.68,18.78,14.81,Hausse
Lait,62,2175.81,2138.71,37.1,1.55,14.0,Stable
Sorgho,62,176.21,165.56,10.65,6.79,14.42,Hausse
Huile végétale,62,985.48,1012.1,-26.61,-2.24,3.69,Stable
Haricot/Niébé,62,426.21,405.65,20.56,4.78,15.28,Stable
Viande,62,3237.9,3080.65,157.26,7.39,11.3,Hausse
